Dataset_Class,Subtype,Source_File,Dimension,Num_Points,Input_Order,Det_Time_ms,Rand_Time_ms,Speedup,Det_Rebuilds,Rand_Rebuilds,Rebuild_Ratio,Det_StdDev_ms,Rand_StdDev_ms,Det_CV,Rand_CV,Iterations,Tag
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,7,15000,Ladder_of_Pairs,35252.11019,6111.59179,5.7680734252704395,7499.0,16.9,443.7278106508876,2823.48149,204.66123,0.08009397096463575,0.03348738545248945,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,7,15000,Sorted_X_Axis,6342.67028,6420.19609,0.9879246974838116,22.0,17.8,1.2359550561797752,185.90624,93.25202,0.02931040583746062,0.014524793120454363,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,7,20000,Ladder_of_Pairs,67361.97282,8988.46733,7.494266858507901,9999.0,18.3,546.3934426229508,1277.42112,216.39576,0.018963534862814015,0.024074822998772585,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,7,20000,Sorted_X_Axis,9049.84481,8839.67045,1.0237762664557253,69.0,18.8,3.6702127659574466,439.26856,241.45482,0.048538794777410105,0.027314911949008237,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,7,25000,Ladder_of_Pairs,106272.78887,11116.24786,9.56013127886481,12499.0,17.6,710.1704545454545,4574.031,151.0681,0.043040472059082416,0.013589846313484413,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,7,25000,Sorted_X_Axis,11042.24419,11322.37561,0.9752586003459746,37.0,17.0,2.176470588235294,208.8604,256.57356,0.01891466955504812,0.022660753258652935,10,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,50000,Sorted_X_Axis,24.70129,31.5142,0.7838145978638201,10.0,20.0,0.5,16.18053,0.55042,0.6550479752272048,0.0174657773321233,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,100000,Sorted_X_Axis,49.70962,79.41906,0.6259154918227439,11.0,22.0,0.5,10.16641,6.59568,0.20451594681270951,0.08304908166880846,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,200000,Sorted_X_Axis,374.45198,208.53704,1.7956137672233192,15.0,18.0,0.8333333333333334,23.17836,20.87331,0.06189941898557994,0.10009401687105562,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,350000,Sorted_X_Axis,526.57723,495.01051,1.0637697975341978,18.0,24.0,0.75,66.91902,40.30896,0.12708301116628232,0.08143051346525955,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,500000,Sorted_X_Axis,802.93986,820.11529,0.9790572981513367,16.0,23.0,0.6956521739130435,73.82565,26.60021,0.09194418371507923,0.032434720245247475,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,50000,Sorted_X_Axis,43.95767,38.26267,1.1488395869917076,17.0,23.0,0.7391304347826086,6.74233,2.74575,0.15338233350402786,0.07176054363169115,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,100000,Sorted_X_Axis,135.35122,115.73334,1.1695093220328732,13.0,19.0,0.6842105263157895,12.42504,7.10163,0.09179850761596385,0.06136200683398578,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,200000,Sorted_X_Axis,314.52706,553.91335,0.5678271881333063,11.0,22.0,0.5,22.58805,21.89282,0.07181591943154271,0.039523907484807864,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,350000,Sorted_X_Axis,850.31187,1001.27047,0.84923294502034,19.0,19.0,1.0,39.57233,47.78577,0.04653860706425279,0.0477251366456458,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,3,500000,Sorted_X_Axis,1257.05863,1736.89797,0.7237377506981599,20.0,21.0,0.9523809523809523,12.67909,56.38793,0.010086315544407027,0.03246473366538623,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,50000,Sorted_X_Axis,344.20941,341.65295,1.0074826223511315,22.0,14.0,1.5714285714285714,16.51136,8.5535,0.047968938443606175,0.025035639235662974,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,100000,Sorted_X_Axis,1111.48543,1071.69145,1.0371319375553476,17.0,22.0,0.7727272727272727,76.00985,106.94763,0.06838582670399918,0.09979330338037128,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,200000,Sorted_X_Axis,3604.55302,3345.04472,1.0775799194696567,17.0,24.0,0.7083333333333334,128.03851,138.79426,0.03552132796759361,0.041492497595069525,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,350000,Sorted_X_Axis,8417.39984,7970.62527,1.0560526376370472,19.0,21.0,0.9047619047619048,205.33389,364.98871,0.024393980790153362,0.04579172870838025,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,5,500000,Sorted_X_Axis,12464.701,12338.41656,1.0102350605027717,23.0,23.0,1.0,331.08798,292.94579,0.026562047497168208,0.02374257576532981,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,50000,Sorted_X_Axis,4019.71313,4503.14547,0.8926456310992769,15.0,20.0,0.75,264.74971,204.24912,0.06586283683383147,0.045356989100332125,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,100000,Sorted_X_Axis,11590.53912,13436.41742,0.8626212447633232,16.0,22.0,0.7272727272727273,1279.41366,1007.65015,0.1103843097162162,0.07499395995990128,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,200000,Sorted_X_Axis,41006.08994,43720.67874,0.9379106436992153,15.0,30.0,0.5,2364.8883,1872.16308,0.05767163617551194,0.042820997613817004,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,350000,Sorted_X_Axis,86873.02749,68155.15263,1.2746362400743991,21.0,28.0,0.75,14984.37937,2533.29927,0.1724859810109054,0.03716959279297267,5,
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,7,500000,Sorted_X_Axis,126807.5255,108939.53894,1.164017460821466,17.0,28.0,0.6071428571428571,21999.2315,697.35177,0.17348522032314243,0.0064012733740692294,5,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,50000,Sorted_X_Axis,97.51502,132.89919,0.7337518008950995,10.0,21.2,0.4716981132075472,1.56418,18.41567,0.01604040075057155,0.138568715129114,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,100000,Sorted_X_Axis,226.29778,380.13102,0.5953152152644633,11.0,21.4,0.5140186915887851,8.22616,75.93787,0.03635104153474241,0.19976762222667335,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,200000,Sorted_X_Axis,824.08347,727.94025,1.1320757026418033,15.0,22.0,0.6818181818181818,31.52432,81.02695,0.038253794849203805,0.1113098911620837,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,350000,Sorted_X_Axis,1447.41406,1541.07632,0.9392228283671247,18.0,24.7,0.728744939271255,50.19089,193.38494,0.03467624875773281,0.12548693240578768,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,2,500000,Sorted_X_Axis,2062.12971,2508.49214,0.8220594663693067,16.0,23.5,0.6808510638297872,55.67852,426.48394,0.02700049358194834,0.17001605594028293,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,50000,Sorted_X_Axis,264.49785,292.82566,0.9032604929499689,17.0,19.4,0.8762886597938145,7.35796,45.30934,0.027818600415844587,0.1547314535208424,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,100000,Sorted_X_Axis,582.03294,652.79057,0.8916074568908066,13.0,15.6,0.8333333333333334,31.22341,69.05907,0.05364543456939052,0.1057905447378016,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,200000,Sorted_X_Axis,1834.82869,2019.39112,0.9086049115636401,11.0,21.3,0.5164319248826291,106.88453,280.32578,0.058253138607724735,0.1388169816256298,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,350000,Sorted_X_Axis,3442.43233,3521.38788,0.9775782865476325,19.0,20.6,0.9223300970873786,47.27519,355.07775,0.013733077506856903,0.10083460331555408,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,3,500000,Sorted_X_Axis,4189.5034,5141.58655,0.8148269720364816,20.0,25.4,0.7874015748031497,117.76082,636.99221,0.02810853906933218,0.12389020466844033,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,5,50000,Sorted_X_Axis,2706.85876,2680.69452,1.0097602467587392,22.0,18.7,1.1764705882352942,124.23715,136.11096,0.04589716753451887,0.050774513464518146,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,5,100000,Sorted_X_Axis,6520.19364,6404.93161,1.0179958252512864,17.0,18.9,0.8994708994708995,1341.19035,556.37329,0.20569793230864844,0.08686639044378493,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,5,200000,Sorted_X_Axis,14138.15481,13784.75308,1.0256371461968907,17.0,20.4,0.8333333333333334,357.19516,239.06454,0.025264623623116204,0.01734267843700832,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,5,350000,Sorted_X_Axis,27396.02009,28180.53382,0.9721611473007931,19.0,23.0,0.8260869565217391,377.72674,389.60688,0.013787650131629027,0.013825390338187709,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,5,500000,Sorted_X_Axis,55945.2657,39811.34517,1.4052593666731408,23.0,25.6,0.8984375,4459.9916,1132.85437,0.07972062594029293,0.02845556625033778,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,7,50000,Sorted_X_Axis,22444.33642,21345.6634,1.0514705492826237,15.0,19.3,0.7772020725388601,1770.4823,2791.60844,0.07888325441523568,0.1307810578517789,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,7,100000,Sorted_X_Axis,45675.62682,46161.16179,0.9894817428510826,16.0,22.6,0.7079646017699115,1493.54009,1713.53925,0.032698841679519614,0.03712079990090735,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,7,200000,Sorted_X_Axis,106525.52568,121348.88996,0.8778450772406226,15.0,22.5,0.6666666666666666,385.93781,9514.94943,0.0036229608587837196,0.07840985964631729,10,
Synthetic_Sorted,Synth_Sorted_095849,experiment_results_20260911_095849.csv,7,350000,Sorted_X_Axis,242418.98243,239502.30986,1.0121780561185607,21.0,23.6,0.8898305084745762,7465.46138,1184.43699,0.030795696381390836,0.004945409464703523,10,
OpenSky_Real_World,OpenSky_100M_3iter,opensky_100M_results.csv,4,133484198,Original,1984056.455,1956605.094,1.0140300978895438,20.0,32.67,0.6121824303642485,27594.109,21702.094,0.013907925316570691,0.011091708831051423,3,
OpenSky_Real_World,OpenSky_100M_10iter,opensky_100M_results.csv,4,133484198,Original,1956517.069,1957852.718,0.9993177990419194,20.0,34.0,0.5882352941176471,2578.773,24592.814,0.0013180426794426297,0.012561115437284899,10,
OpenSky_Real_World,OpenSky_Cache_Slice,opensky_cache_results.csv,4,1000,Original,1.357,1.361,0.997060984570169,8.0,10.33,0.7744433688286544,0.047,0.023,0.034635224760501106,0.01689933872152829,3,
OpenSky_Real_World,OpenSky_Cache_Slice,opensky_cache_results.csv,4,5000,Original,7.116,7.475,0.9519732441471572,10.0,16.67,0.5998800239952009,0.046,0.354,0.006464305789769534,0.04735785953177257,3,
OpenSky_Real_World,OpenSky_Cache_Slice,opensky_cache_results.csv,4,10000,Original,14.907,14.561,1.0237621042510816,11.0,14.67,0.7498295841854125,0.086,0.283,0.005769101764271818,0.019435478332532105,3,
OpenSky_Real_World,OpenSky_Cache_Slice,opensky_cache_results.csv,4,50000,Original,81.791,83.554,0.978899873135936,11.0,22.33,0.4926108374384237,0.661,1.086,0.008081573767284909,0.012997582401800035,3,
OpenSky_Real_World,OpenSky_Cache_Slice,opensky_cache_results.csv,4,100000,Original,197.272,204.122,0.9664416378440344,11.0,14.33,0.7676203768318214,1.947,2.914,0.009869621639158117,0.014275776251457461,3,
OpenSky_Real_World,OpenSky_Cache_Slice,opensky_cache_results.csv,4,500000,Original,2164.311,2184.935,0.990560817598693,11.0,22.67,0.4852227613586237,30.415,19.228,0.014052971130304286,0.00880026179268491,3,
OpenSky_Real_World,OpenSky_Cache_Slice,opensky_cache_results.csv,4,1000000,Original,6649.196,6448.189,1.031172628469792,12.0,21.0,0.5714285714285714,143.424,17.613,0.021570126673961784,0.002731464601921563,3,
OpenSky_Real_World,OpenSky_Cache_Slice,opensky_cache_results.csv,4,1500000,Original,11475.163,11407.156,1.0059617839889277,12.0,23.0,0.5217391304347826,201.74,74.275,0.017580578158236184,0.006511263631355616,3,
OpenSky_Real_World,OpenSky_Cache_Slice,opensky_cache_results.csv,4,2000000,Original,16920.896,16833.322,1.005202419344203,12.0,23.67,0.5069708491761723,20.335,78.237,0.0012017685115492702,0.00464774570343275,3,
OpenSky_Real_World,OpenSky_Cache_Slice,opensky_cache_results.csv,4,3000000,Original,29827.257,28137.953,1.0600364923489638,14.0,30.67,0.45647212259537007,469.125,302.549,0.015728063763959254,0.010752345772984978,3,
OpenSky_Real_World,OpenSky_Cache_Slice,opensky_cache_results.csv,4,5000000,Original,54787.61,54006.831,1.0144570415546137,14.0,27.33,0.5122575923893158,469.197,816.198,0.00856392531085039,0.015112866000228748,3,
OpenSky_Real_World,OpenSky_MultiDate_Hourly_v3,opensky_all_dates_results_20260912_081335.csv,4,2004714,Original,25569.169,24912.155,1.0263732302564754,34.0,24.4,1.3934426229508197,386.654,380.961,0.015121883702986201,0.015292173639735304,10,states_2022-06-27-00_4d
