Dataset_Class,Subtype,Source_File,Dimension,Num_Points,Input_Order,Algorithm,Mean_Time_ms,Speedup,Rebuilds,StdDev_Time_ms,StdDev_Rebuilds,Iterations
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,7,20000,Ladder_of_Pairs,Deterministic Grid,67361.97282,7.494266858507901,9999.0,1277.42112,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,7,20000,Ladder_of_Pairs,Randomized Grid,8988.46733,7.494266858507901,18.3,216.39576,4.1379,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,7,20000,Sorted_X_Axis,Deterministic Grid,9049.84481,1.0237762664557253,69.0,439.26856,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,7,20000,Sorted_X_Axis,Randomized Grid,8839.67045,1.0237762664557253,18.8,241.45482,3.85285,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,7,25000,Ladder_of_Pairs,Deterministic Grid,106272.78887,9.56013127886481,12499.0,4574.031,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,7,25000,Ladder_of_Pairs,Randomized Grid,11116.24786,9.56013127886481,17.6,151.0681,4.0332,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,7,25000,Sorted_X_Axis,Deterministic Grid,11042.24419,0.9752586003459746,37.0,208.8604,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,7,25000,Sorted_X_Axis,Randomized Grid,11322.37561,0.9752586003459746,17.0,256.57356,3.29983,10
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,50000,Sorted_X_Axis,Deterministic Grid,24.70129,0.7838145978638201,10.0,16.18053,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,50000,Sorted_X_Axis,Randomized Grid,31.5142,0.7838145978638201,20.0,0.55042,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,100000,Sorted_X_Axis,Deterministic Grid,49.70962,0.6259154918227439,11.0,10.16641,0.0,5
Synthetic_Sorted,Synth_Sorted_194655,experiment_results_20260912_194655.csv,2,100000,Sorted_X_Axis,Randomized Grid,79.41906,0.6259154918227439,22.0,6.59568,0.0,5
