Timestamp,Space_Type,Dimensions,Num_Points,Input_Order,Algorithm,Iterations,Min_Distance,Mean_Time_ms,Median_Time_ms,StdDev_Time_ms,Raw_Times_ms
2026-09-03 01:43:30,Adversarial,3,100000,Ladder_of_Pairs,Randomized Grid,10,0.00900,80.72551,80.08033,7.50281,"[92.31607, 77.97569, 90.43344, 75.46147, 84.08990, 69.84075, 77.43292, 85.55251, 82.18497, 71.96739]"
2026-09-03 01:43:31,Normal,5,2000,Original,Deterministic Grid,10,36.93922,9.01302,8.97331,0.16317,"[9.42693, 9.04869, 9.11689, 8.90601, 8.94962, 8.97641, 8.97440, 8.86189, 8.89715, 8.97221]"
2026-09-03 01:43:31,Normal,5,2000,Original,Randomized Grid,10,36.93922,8.97262,8.91609,0.20440,"[9.13142, 9.21424, 9.20154, 9.24037, 8.97749, 8.79173, 8.76245, 8.76401, 8.78822, 8.85469]"
2026-09-03 01:43:31,Normal,5,2000,Sorted_X_Axis,Deterministic Grid,10,36.93922,9.04466,9.01883,0.14853,"[9.30814, 9.18973, 9.16611, 9.12863, 8.99408, 9.04359, 8.93562, 8.91809, 8.91624, 8.84634]"
2026-09-03 01:43:31,Normal,5,2000,Sorted_X_Axis,Randomized Grid,10,36.93922,8.93146,8.94079,0.14473,"[9.05706, 9.15271, 8.91789, 8.96369, 8.78491, 8.99175, 8.82852, 8.82428, 9.08792, 8.70587]"
2026-09-03 01:43:31,Adversarial,5,2000,Ladder_of_Pairs,Deterministic Grid,10,0.45001,67.39508,66.95604,1.07838,"[68.81986, 69.71376, 67.24195, 67.79470, 67.12682, 66.52831, 66.78525, 66.62654, 66.63750, 66.67607]"
2026-09-03 01:43:32,Adversarial,5,2000,Ladder_of_Pairs,Randomized Grid,10,0.45001,9.08443,9.01214,0.22723,"[9.51719, 8.96218, 9.34502, 9.29615, 8.87791, 9.07151, 9.06210, 8.95254, 8.93137, 8.82833]"
2026-09-03 01:43:32,Normal,5,10000,Original,Deterministic Grid,10,15.28447,52.11361,51.90059,0.45958,"[52.94485, 51.61082, 51.71930, 51.90182, 51.78394, 52.81365, 51.89479, 51.89937, 52.22732, 52.34022]"
2026-09-03 01:43:33,Normal,5,10000,Original,Randomized Grid,10,15.28447,51.86975,51.96346,0.86205,"[52.62943, 52.09166, 50.72629, 52.21704, 51.83526, 50.90021, 52.63358, 50.94101, 51.42264, 53.30035]"
2026-09-03 01:43:33,Normal,5,10000,Sorted_X_Axis,Deterministic Grid,10,15.28447,51.74898,51.71860,0.50613,"[52.33269, 51.93406, 51.50313, 51.35809, 52.32628, 52.20050, 51.20751, 51.37882, 52.22384, 51.02482]"
2026-09-03 01:43:34,Normal,5,10000,Sorted_X_Axis,Randomized Grid,10,15.28447,52.83399,52.56284,1.51794,"[51.89369, 54.23349, 52.68930, 52.36649, 51.20729, 51.33983, 52.72286, 56.37633, 52.43637, 53.07427]"
2026-09-03 01:43:54,Adversarial,5,10000,Ladder_of_Pairs,Deterministic Grid,10,0.08999,2071.90439,2068.64254,8.03560,"[2091.43140, 2073.47307, 2076.88026, 2066.74682, 2065.18247, 2067.15367, 2066.96494, 2070.13141, 2065.69253, 2075.38737]"
2026-09-03 01:43:55,Adversarial,5,10000,Ladder_of_Pairs,Randomized Grid,10,0.08999,52.42662,52.23131,1.06913,"[52.83538, 53.54121, 52.56323, 51.19027, 51.89940, 51.78138, 53.20484, 51.44440, 51.38444, 54.42161]"
2026-09-03 01:44:00,Normal,5,80000,Original,Deterministic Grid,10,7.48920,500.40958,500.05458,4.49404,"[496.06799, 505.63349, 494.11431, 499.46479, 498.18433, 500.64437, 496.61876, 508.66718, 502.28882, 502.41179]"
2026-09-03 01:44:05,Normal,5,80000,Original,Randomized Grid,10,7.48920,504.28922,504.20310,3.99407,"[503.20207, 502.97483, 503.57015, 504.83605, 495.78268, 501.88090, 510.11236, 505.83819, 505.52090, 509.17403]"
2026-09-03 01:44:10,Normal,5,80000,Sorted_X_Axis,Deterministic Grid,10,7.48920,489.05389,488.86022,2.46076,"[492.52753, 491.45240, 487.65405, 491.66842, 488.51979, 487.15439, 489.63224, 488.62126, 489.09919, 484.20965]"
2026-09-03 01:44:15,Normal,5,80000,Sorted_X_Axis,Randomized Grid,10,7.48920,499.72094,500.58211,9.01278,"[500.16598, 507.58657, 493.55719, 489.13248, 500.99824, 502.65558, 512.18980, 495.21236, 510.62071, 485.09048]"
2026-09-03 02:13:52,Adversarial,5,80000,Ladder_of_Pairs,Deterministic Grid,10,0.01125,177684.36988,177879.18368,1185.23115,"[179030.00301, 178617.07099, 175443.58111, 178409.77946, 177348.58789, 178461.31793, 176389.07993, 177117.50306, 177152.30548, 178874.46995]"
2026-09-03 02:13:57,Adversarial,5,80000,Ladder_of_Pairs,Randomized Grid,10,0.01125,507.97562,504.75164,11.48240,"[516.95801, 514.18628, 504.83419, 502.23568, 504.66910, 494.55183, 498.17282, 507.07682, 502.51272, 534.55871]"
2026-09-03 02:13:58,Normal,7,2000,Original,Deterministic Grid,10,80.56887,91.33333,91.08553,0.53403,"[91.68822, 92.40080, 91.83809, 90.86666, 90.87726, 90.97988, 91.19119, 91.66799, 90.97419, 90.84903]"
2026-09-03 02:13:59,Normal,7,2000,Original,Randomized Grid,10,80.56887,90.92305,90.79136,0.78664,"[92.74993, 90.58429, 91.61526, 90.07283, 91.08892, 90.93961, 90.12660, 90.47032, 90.87239, 90.71033]"
2026-09-03 02:13:59,Normal,7,2000,Sorted_X_Axis,Deterministic Grid,10,80.56887,92.04777,91.85230,0.60405,"[92.92527, 92.60407, 91.79072, 92.98112, 91.91388, 91.71465, 91.49381, 92.22364, 91.40144, 91.42914]"
2026-09-03 02:14:00,Normal,7,2000,Sorted_X_Axis,Randomized Grid,10,80.56887,91.64071,91.59740,0.92974,"[93.12690, 92.39332, 92.26226, 90.35129, 92.52156, 90.99629, 91.80746, 91.09009, 90.47057, 91.38734]"
2026-09-03 02:14:02,Adversarial,7,2000,Ladder_of_Pairs,Deterministic Grid,10,0.45001,150.32877,150.29269,0.44640,"[150.35873, 151.01443, 149.85252, 150.50161, 149.78009, 150.31284, 150.18648, 150.27253, 151.08710, 149.92134]"
2026-09-03 02:14:03,Adversarial,7,2000,Ladder_of_Pairs,Randomized Grid,10,0.45001,91.45316,91.28899,0.70436,"[93.02901, 91.82691, 91.08105, 91.24410, 90.31445, 91.31679, 91.03576, 91.26118, 91.72660, 91.69572]"
2026-09-03 02:14:09,Normal,7,10000,Original,Deterministic Grid,10,62.94889,576.10342,575.62793,1.26191,"[576.31957, 575.60343, 574.83491, 578.21467, 575.63626, 574.79096, 575.08994, 576.73002, 578.19481, 575.61960]"
2026-09-03 02:14:14,Normal,7,10000,Original,Randomized Grid,10,62.94889,578.34284,578.10791,1.39947,"[579.98850, 578.81204, 578.38959, 577.56130, 576.28377, 577.82623, 576.89859, 577.70513, 579.05556, 580.90765]"
2026-09-03 02:14:20,Normal,7,10000,Sorted_X_Axis,Deterministic Grid,10,62.94889,576.02092,576.09879,2.24747,"[576.24520, 578.95173, 575.67617, 575.85771, 578.23187, 570.43866, 576.77193, 575.83841, 576.18624, 576.01134]"
2026-09-03 02:14:26,Normal,7,10000,Sorted_X_Axis,Randomized Grid,10,62.94889,577.03506,576.39863,1.63098,"[576.09834, 575.03614, 576.10354, 578.45195, 578.59073, 576.38405, 577.41770, 575.55868, 580.29630, 576.41322]"
2026-09-03 02:14:55,Adversarial,7,10000,Ladder_of_Pairs,Deterministic Grid,10,0.08999,2871.46128,2873.76837,7.89263,"[2874.59821, 2878.65823, 2880.95252, 2865.72507, 2873.50060, 2857.64148, 2863.93320, 2865.23143, 2880.33594, 2874.03615]"
2026-09-03 02:15:00,Adversarial,7,10000,Ladder_of_Pairs,Randomized Grid,10,0.08999,576.59272,576.89029,3.33582,"[579.59253, 576.43327, 578.37937, 573.12888, 581.07608, 574.04025, 577.34732, 576.20707, 570.24578, 579.47665]"
2026-09-03 02:15:40,Normal,7,60000,Original,Deterministic Grid,10,31.90454,3990.28761,3984.87746,18.99425,"[3988.59128, 4023.84933, 4021.15685, 3982.29716, 3979.81453, 3994.44058, 3961.60510, 3987.45777, 3982.26817, 3981.39538]"
